Date,Price,Open,High,Low,Vol.,Change %
2019-08-28,9729.40,10184.70,10271.30,9629.60,580.29K,-4.47%
2019-08-29,9491.00,9729.10,9729.10,9343.00,509.13K,-2.45%
2019-08-30,9585.40,9494.10,9675.70,9370.20,413.92K,0.99%
2019-08-31,9594.40,9585.50,9677.50,9457.30,311.49K,0.09%
2019-09-01,9729.30,9594.70,9799.50,9533.60,322.66K,1.41%
2019-09-02,10348.80,9728.80,10431.50,9720.30,542.79K,6.37%
2019-09-03,10612.30,10348.10,10756.80,10283.50,578.79K,2.55%
2019-09-04,10568.20,10611.60,10783.60,10388.60,504.45K,-0.42%
2019-09-05,10566.90,10567.80,10630.70,10469.90,402.09K,-0.01%
2019-09-06,10309.30,10566.70,10896.20,10227.40,643.02K,-2.44%
2019-09-07,10461.10,10306.90,10556.40,10302.30,393.57K,1.47%
2019-09-08,10402.80,10461.60,10578.00,10266.30,339.73K,-0.56%
2019-09-09,10309.00,10402.10,10478.00,10095.70,473.76K,-0.90%
2019-09-10,10105.40,10308.70,10379.80,9970.70,383.22K,-1.98%
2019-09-11,10162.50,10104.90,10257.50,9908.90,413.06K,0.57%
2019-09-12,10415.10,10162.40,10447.90,10051.00,413.22K,2.49%
2019-09-13,10342.10,10415.20,10441.40,10174.10,365.52K,-0.70%
2019-09-14,10337.30,10342.20,10421.40,10253.70,326.44K,-0.05%
2019-09-15,10311.50,10337.30,10360.40,10272.00,255.79K,-0.25%
2019-09-16,10255.50,10311.30,10360.50,10108.50,372.53K,-0.54%
2019-09-17,10195.70,10254.60,10273.60,10153.50,321.64K,-0.58%
2019-09-18,10164.70,10195.70,10257.50,10119.30,318.82K,-0.30%
2019-09-19,10250.50,10164.60,10297.60,9707.60,542.25K,0.84%
2019-09-20,10172.70,10251.50,10279.50,10088.60,362.07K,-0.76%
2019-09-21,9993.00,10172.80,10177.90,9939.80,326.17K,-1.77%
2019-09-22,10031.60,9993.00,10075.00,9870.90,337.06K,0.39%
2019-09-23,9702.20,10031.30,10048.80,9656.30,431.10K,-3.28%
2019-09-24,8513.90,9702.70,9793.80,8069.40,933.16K,-12.25%
2019-09-25,8432.40,8512.30,8729.80,8245.10,696.11K,-0.96%
2019-09-26,8063.80,8432.50,8463.10,7773.60,731.03K,-4.37%
2019-09-27,8184.90,8063.80,8257.40,7882.10,561.40K,1.50%
2019-09-28,8208.50,8184.50,8297.20,8031.10,457.79K,0.29%
2019-09-29,8049.10,8208.00,8226.80,7922.10,418.48K,-1.94%
2019-09-30,8284.30,8048.90,8318.50,7749.00,600.26K,2.92%
2019-10-01,8302.70,8285.00,8486.20,8187.90,533.95K,0.22%
2019-10-02,8364.10,8302.70,8374.00,8167.70,405.86K,0.74%
2019-10-03,8226.90,8363.60,8391.70,8090.10,460.97K,-1.64%
2019-10-04,8148.10,8227.60,8233.60,8041.40,416.92K,-0.96%
2019-10-05,8127.30,8148.00,8185.10,8030.60,360.92K,-0.25%
2019-10-06,7881.90,8127.30,8145.50,7834.90,448.80K,-3.02%
2019-10-07,8198.60,7882.60,8293.50,7797.00,604.74K,4.02%
2019-10-08,8182.90,8198.50,8323.10,8118.10,469.04K,-0.19%
2019-10-09,8566.70,8180.10,8655.90,8122.70,636.43K,4.69%
2019-10-10,8562.30,8566.80,8638.50,8438.70,511.46K,-0.05%
2019-10-11,8267.80,8562.20,8751.10,8249.70,667.86K,-3.44%
2019-10-12,8304.40,8267.60,8394.80,8260.90,424.02K,0.44%
2019-10-13,8281.50,8304.30,8450.20,8190.60,419.87K,-0.28%
2019-10-14,8353.30,8281.30,8374.30,8222.20,505.02K,0.87%
2019-10-15,8167.20,8353.40,8400.20,8139.50,469.73K,-2.23%
2019-10-16,8000.40,8167.10,8185.90,7929.80,538.92K,-2.04%
2019-10-17,8073.30,8000.40,8118.20,7944.40,444.95K,0.91%
2019-10-18,7948.50,8073.30,8116.40,7842.00,505.79K,-1.55%
2019-10-19,7957.30,7948.30,8060.20,7892.40,428.83K,0.11%
2019-10-20,8223.40,7957.40,8288.50,7889.60,513.91K,3.34%
2019-10-21,8208.20,8224.10,8315.30,8155.70,489.40K,-0.18%
2019-10-22,8031.40,8207.40,8289.10,8017.70,570.39K,-2.15%
2019-10-23,7477.00,8031.00,8055.00,7329.20,892.08K,-6.90%
2019-10-24,7422.70,7476.80,7501.50,7366.30,586.49K,-0.73%
2019-10-25,8658.30,7422.80,8697.70,7404.90,1.18M,16.65%
2019-10-26,9230.60,8658.40,10540.00,8061.80,1.78M,6.61%
2019-10-27,9529.60,9230.60,9773.20,9081.00,1.16M,3.24%
2019-10-28,9207.20,9530.10,9866.90,9202.50,1.04M,-3.38%
2019-10-29,9411.30,9206.50,9531.30,9125.30,918.48K,2.22%
2019-10-30,9157.90,9411.30,9411.30,9018.40,789.73K,-2.69%
2019-10-31,9152.60,9157.90,9378.90,8959.60,798.93K,-0.06%
2019-11-01,9230.10,9153.10,9270.40,9057.20,689.65K,0.85%
2019-11-02,9300.60,9230.30,9356.70,9201.20,570.74K,0.76%
2019-11-03,9198.30,9300.50,9359.10,9095.00,536.56K,-1.10%
2019-11-04,9396.40,9198.70,9500.40,9134.10,681.01K,2.15%
2019-11-05,9310.80,9396.10,9452.70,9193.90,653.42K,-0.91%
2019-11-06,9338.90,9311.20,9424.60,9262.70,578.03K,0.30%
2019-11-07,9223.50,9339.20,9367.00,9130.00,603.54K,-1.24%
2019-11-08,8778.20,9223.60,9254.80,8722.40,791.79K,-4.83%
2019-11-09,8804.50,8778.10,8877.50,8746.90,512.02K,0.30%
2019-11-10,9036.80,8804.70,9092.90,8763.50,581.57K,2.64%
2019-11-11,8736.90,9036.90,9066.40,8649.40,601.16K,-3.32%
2019-11-12,8812.60,8737.40,8841.20,8615.70,575.16K,0.87%
2019-11-13,8783.10,8813.20,8829.70,8721.10,454.33K,-0.33%
2019-11-14,8661.20,8782.90,8799.80,8615.80,515.43K,-1.39%
2019-11-15,8476.30,8660.80,8761.80,8437.10,653.71K,-2.13%
2019-11-16,8497.30,8476.20,8532.80,8450.70,471.16K,0.25%
2019-11-17,8509.80,8497.40,8631.70,8413.00,531.22K,0.15%
